nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2019,08,47,2.392,1.576,2.439,5642,"27,93"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2019,08,0,1.460,730,1.460,2821,"25,88"
ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 4,155,205,2019,08,0,0,0,0,4805,"0,00"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,08,455,6.938,0,7.393,4650,"0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2019,08,96,2.396,0,2.492,5735,"0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2019,08,0,1.889,1.087,1.889,4774,"22,77"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,2019,08,73,4.018,2.088,4.091,3069,"68,04"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,2019,08,148,4.364,2.432,4.512,3379,"71,97"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2019,08,0,0,0,0,2263,"0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,2019,08,3,1.737,1.248,1.740,3131,"39,86"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,2019,08,6,2.896,2.777,2.902,837,"331,78"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2019,08,43,835,439,878,2635,"16,66"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2019,08,67,6.317,1.087,6.384,4805,"22,62"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2019,08,19,3.510,3.350,3.529,3038,"110,27"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2019,08,73,4.360,2.530,4.433,5146,"49,16"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,2019,08,33,5.882,3.247,5.915,930,"349,14"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,2019,08,18,2.676,2.174,2.694,2449,"88,77"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,107,171,2019,08,0,0,0,0,3317,"0,00"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2019,08,0,1.698,849,1.698,1643,"51,67"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2019,08,0,102,50,102,4123,"1,21"
